"구  분","부문명","시도별","항목","단위","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월",
"LH","공공임대","대전","사용검사실적","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","687","0","0","0","0","0","240","0","0","0","492","0","0","690","0","0","0","0","0","0","0","0","0","0","0","0","0","0","182","0","0","0","0","0","0","0","0","0","0","504","0","0","0","0","0","0","0","0","0","0","0","0","238","8","0","691","9","4","2","0","0","0","0","0","0","296","0","0","0","0","0","3","0","6","3","0","0","0","0","0","0","0","360","0","0","0","3","0","82","1","0","0","0","1","0","0","0","0","0","0","2","0","0",
"LH","공공임대","울산","사용검사실적","","0","0","0","0","0","0","0","0","136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","946","0","0","0","0","0","404","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"LH","공공임대","세종","사용검사실적","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1164","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1438","0","0","0","0","0","0","0","1080","0","0","0","0","450","0","0","0","0","0","0","0","0","0","0","0","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","199","0","0","0","0","0","0","298","0","0","0","0","0","0","0","0","0","0","0",
"LH","공공임대","강원","사용검사실적","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","728","0","0","0","0","0","0","0","0","0","0","0","0","0","0","196","0","756","0","0","0","0","0","0","0","0","0","0","148","0","480","0","0","0","0","0","0","0","1107","0","0","0","0","0","0","0","3","0","1","1","0","0","0","0","0","0","0","4","0","8","0","0","1","0","0","15","120","0","0","0","0","0","0","0","355","0","260","1","0","5","1","0","0","0","0","1","1","1","0","42","129","2","0","0","1","0","102","1126","0","1","0","198","243",
"LH","공공임대","충북","사용검사실적","","0","0","86","0","0","0","0","0","0","0","0","749","0","0","0","0","0","0","0","0","344","0","0","0","0","0","0","0","0","0","0","0","0","0","295","0","0","0","198","924","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","565","0","0","0","0","0","0","3","0","0","0","0","456","36","0","0","0","133","0","998","0","550","0","150","0","90","0","1527","0","0","0","0","0","0","9","400","0","0","492","0","-404","0","0","1","0","0","0","0","0","30","169","0","4","1","0","0","1","0","0","294","0","80","56","0",
"LH","공공임대","충남","사용검사실적","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1584","0","491","0","538","0","0","0","0","0","58","0","497","0","-497","162","0","0","0","0","0","0","0","0","0","0","320","1258","0","0","0","0","0","0","0","0","0","0","2585","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1030","0","0","0","250","0","0","1059","0","0","254","0","161","0","0","0","0","0","1","266","1","150","0","0","200","0","0","0","596","200","288","1441","1","714","730","200","146","0","0","0","0","102","435","0","884","0","0","0",
"LH","공공임대","전북","사용검사실적","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","612","0","0","0","0","0","0","0","0","0","0","0","0","0","296","0","0","3","4","0","0","0","112","1418","0","720","0","0","0","2","412","0","0","1007","0","0","0","0","0","0","0","447","0","0","2","0","0","0","0","0","450","17","0","0","5","551","0","601","0","0","0","0","120","0","0","0","0","0","30","20","128","98","0","0",
"LH","공공임대","전남","사용검사실적","","0","0","0","0","0","0","0","1029","0","0","0","0","919","0","0","0","0","0","0","0","0","0","0","540","0","0","0","0","0","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","284","450","0","0","0","0","0","0","0","0","0","30","0","0","200","0","0","0","0","0","0","0","0","0","250","0","40","0","0","3","0","92","21","0","0","0","0","0","260","100","0","0","0","0","0","631","0","0","400","0","0","0","0","0","0","0","0","0","150","140","0","40","0","0","100","0","0","0","0","0","0","0","38","0","0",
"LH","공공임대","경북","사용검사실적","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1271","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410","0","0","0","0","0","0","0","0","0","0","20","358","0","0","1","8","0","0","0","0","0","0","0","0","200","0","0","0","0","0","0","0","0","110","0","200","0","244","765","99","420","500","0","0","0","0","0","460","0","0","0","0","0","0","0","103","0","0","0","0","0",
"LH","공공임대","경남","사용검사실적","","0","0","0","0","0","0","0","600","0","0","0","0","0","0","0","0","0","0","376","0","138","0","194","0","0","0","0","575","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1075","0","404","140","0","0","1946","0","528","0","0","210","867","0","460","0","0","9","0","2","0","0","20","0","196","0","1200","0","0","9","0","0","150","0","0","360","0","316","0","0","0","917","0","40","500","0","0","0","0","0","0","0","0","0","0","1","201","0","0","50","464","30","0","0","0","0","0","90","0","0","30","0","0","211",
