시점,구분,부문별미분양현황,시도별미분양현황,규모별미분양현황
2019.0,대전광역시,-,724,-
2019.0,울산광역시,-,"1,269",-
2019.0,경기도,-,"5,085",-
2019.0,세종특별자치시,-,0,-
2019.0,강원도,-,"5,945",-
2019.0,충청북도,-,"1,672",-
2019.0,충청남도,-,"5,569",-
2019.0,전라북도,-,"1,043",-
2019.0,전라남도,-,"1,857",-
2019.0,경상북도,-,"6,122",-
2019.0,경상남도,-,"12,269",-
2019.0,제주도,-,"1,072",-
2019.0,수도권,-,"6,202",-
2019.0,60㎡이하,-,-,"9,044"
2019.0,지방,-,"41,595",-
2019.0,60-85㎡,-,-,"34,920"
2019.0,85㎡초과,-,-,"3,833"
2020.0,계,"19,005",-,"19,005"
2020.0,민간부문,"19,005",-,-
2020.0,공공부문,0,-,-
2020.0,(준공후),"12,006",-,-
2020.0,전국,-,"19,005",-
2020.0,서울특별시,-,49,-
2020.0,부산광역시,-,973,-
2020.0,대구광역시,-,280,-
2020.0,인천광역시,-,466,-
2020.0,광주광역시,-,31,-
2020.0,대전광역시,-,638,-
2020.0,울산광역시,-,468,-
2020.0,경기도,-,"1,616",-
2020.0,세종특별자치시,-,0,-
2020.0,강원도,-,"3,115",-
2020.0,충청북도,-,273,-
2020.0,충청남도,-,"2,510",-
2020.0,전라북도,-,661,-
2020.0,전라남도,-,"1,059",-
2020.0,경상북도,-,"2,154",-
2020.0,경상남도,-,"3,617",-
2020.0,제주도,-,"1,095",-
2020.0,수도권,-,"2,131",-
2020.0,60㎡이하,-,-,"4,640"
2020.0,지방,-,"16,874",-
2020.0,60-85㎡,-,-,"13,665"
2020.0,85㎡초과,-,-,700
2021.0,계,"17,710",-,"17,710"
2021.0,민간부문,"17,710",-,-
2021.0,공공부문,0,-,-
2021.0,(준공후),"7,449",-,-
2021.0,전국,-,"17,710",-
2021.0,서울특별시,-,54,-
2021.0,부산광역시,-,949,-
2021.0,대구광역시,-,"1,977",-
2021.0,인천광역시,-,425,-
2021.0,광주광역시,-,27,-
2021.0,대전광역시,-,460,-
2021.0,울산광역시,-,397,-
